+-----------------------+-------------------+-----------+-------+
| Player                | 'Equip'           | 'Current' | 'Max' |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Roodies Raiders       | Giant Gauntlet    | '27'      | 27    |
| Roodies Raiders       | Rocket Spear      | '27'      | 27    |
| Roodies Raiders       | Spiky Ball        | '27'      | 27    |
| Roodies Raiders       | Frozen Arrow      | '27'      | 27    |
| Roodies Raiders       | Fireball          | '5'       | 27    |
| Roodies Raiders       | Magic Mirror      | '14'      | 27    |
| Roodies Raiders       | Barbarian Puppet  | '18'      | 18    |
| Roodies Raiders       | Rage Vial         | '18'      | 18    |
| Roodies Raiders       | Archer Puppet     | '18'      | 18    |
| Roodies Raiders       | Invisibility Vial | '18'      | 18    |
| Roodies Raiders       | Eternal Tome      | '18'      | 18    |
| Roodies Raiders       | Life Gem          | '18'      | 18    |
| Roodies Raiders       | Seeking Shield    | '18'      | 18    |
| Roodies Raiders       | Royal Gem         | '18'      | 18    |
| Roodies Raiders       | Earthquake Boots  | '18'      | 18    |
| Roodies Raiders       | Hog Rider Puppet  | '18'      | 18    |
| Roodies Raiders       | Vampstache        | '5'       | 18    |
| Roodies Raiders       | Haste Vial        | '18'      | 18    |
| Roodies Raiders       | Giant Arrow       | '18'      | 18    |
| Roodies Raiders       | Healer Puppet     | '18'      | 18    |
| Roodies Raiders       | Rage Gem          | '18'      | 18    |
| Roodies Raiders       | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Neo                   | Giant Gauntlet    | '23'      | 27    |
| Neo                   | Rocket Spear      | '20'      | 27    |
| Neo                   | Spiky Ball        | '23'      | 27    |
| Neo                   | Frozen Arrow      | '14'      | 27    |
| Neo                   | Fireball          | '23'      | 27    |
| Neo                   | Magic Mirror      | '11'      | 27    |
| Neo                   | Barbarian Puppet  | '17'      | 18    |
| Neo                   | Rage Vial         | '17'      | 18    |
| Neo                   | Archer Puppet     | '17'      | 18    |
| Neo                   | Invisibility Vial | '17'      | 18    |
| Neo                   | Eternal Tome      | '18'      | 18    |
| Neo                   | Life Gem          | '17'      | 18    |
| Neo                   | Seeking Shield    | '18'      | 18    |
| Neo                   | Royal Gem         | '17'      | 18    |
| Neo                   | Earthquake Boots  | '18'      | 18    |
| Neo                   | Hog Rider Puppet  | '14'      | 18    |
| Neo                   | Vampstache        | '11'      | 18    |
| Neo                   | Haste Vial        | '18'      | 18    |
| Neo                   | Giant Arrow       | '14'      | 18    |
| Neo                   | Healer Puppet     | '18'      | 18    |
| Neo                   | Rage Gem          | '14'      | 18    |
| Neo                   | Healing Tome      | '17'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Luke                  | Giant Gauntlet    | '27'      | 27    |
| Luke                  | Rocket Spear      | '8'       | 27    |
| Luke                  | Spiky Ball        | '27'      | 27    |
| Luke                  | Frozen Arrow      | '11'      | 27    |
| Luke                  | Fireball          | '26'      | 27    |
| Luke                  | Magic Mirror      | '8'       | 27    |
| Luke                  | Barbarian Puppet  | '18'      | 18    |
| Luke                  | Rage Vial         | '18'      | 18    |
| Luke                  | Archer Puppet     | '18'      | 18    |
| Luke                  | Invisibility Vial | '18'      | 18    |
| Luke                  | Eternal Tome      | '18'      | 18    |
| Luke                  | Life Gem          | '18'      | 18    |
| Luke                  | Seeking Shield    | '18'      | 18    |
| Luke                  | Royal Gem         | '18'      | 18    |
| Luke                  | Earthquake Boots  | '14'      | 18    |
| Luke                  | Hog Rider Puppet  | '18'      | 18    |
| Luke                  | Vampstache        | '18'      | 18    |
| Luke                  | Haste Vial        | '18'      | 18    |
| Luke                  | Giant Arrow       | '18'      | 18    |
| Luke                  | Healer Puppet     | '18'      | 18    |
| Luke                  | Rage Gem          | '18'      | 18    |
| Luke                  | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| â– LORD RAJâ–         | Giant Gauntlet    | '26'      | 27    |
| â– LORD RAJâ–         | Spiky Ball        | '27'      | 27    |
| â– LORD RAJâ–         | Fireball          | '16'      | 27    |
| â– LORD RAJâ–         | Barbarian Puppet  | '18'      | 18    |
| â– LORD RAJâ–         | Rage Vial         | '17'      | 18    |
| â– LORD RAJâ–         | Archer Puppet     | '18'      | 18    |
| â– LORD RAJâ–         | Invisibility Vial | '18'      | 18    |
| â– LORD RAJâ–         | Eternal Tome      | '18'      | 18    |
| â– LORD RAJâ–         | Life Gem          | '17'      | 18    |
| â– LORD RAJâ–         | Seeking Shield    | '18'      | 18    |
| â– LORD RAJâ–         | Royal Gem         | '18'      | 18    |
| â– LORD RAJâ–         | Earthquake Boots  | '18'      | 18    |
| â– LORD RAJâ–         | Hog Rider Puppet  | '18'      | 18    |
| â– LORD RAJâ–         | Vampstache        | '8'       | 18    |
| â– LORD RAJâ–         | Haste Vial        | '2'       | 18    |
| â– LORD RAJâ–         | Giant Arrow       | '2'       | 18    |
| â– LORD RAJâ–         | Healer Puppet     | '18'      | 18    |
| â– LORD RAJâ–         | Rage Gem          | '18'      | 18    |
| â– LORD RAJâ–         | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Megs Over Easy        | Giant Gauntlet    | '27'      | 27    |
| Megs Over Easy        | Rocket Spear      | '14'      | 27    |
| Megs Over Easy        | Spiky Ball        | '23'      | 27    |
| Megs Over Easy        | Frozen Arrow      | '27'      | 27    |
| Megs Over Easy        | Fireball          | '8'       | 27    |
| Megs Over Easy        | Magic Mirror      | '2'       | 27    |
| Megs Over Easy        | Barbarian Puppet  | '18'      | 18    |
| Megs Over Easy        | Rage Vial         | '18'      | 18    |
| Megs Over Easy        | Archer Puppet     | '18'      | 18    |
| Megs Over Easy        | Invisibility Vial | '18'      | 18    |
| Megs Over Easy        | Eternal Tome      | '18'      | 18    |
| Megs Over Easy        | Life Gem          | '18'      | 18    |
| Megs Over Easy        | Seeking Shield    | '18'      | 18    |
| Megs Over Easy        | Royal Gem         | '18'      | 18    |
| Megs Over Easy        | Earthquake Boots  | '14'      | 18    |
| Megs Over Easy        | Hog Rider Puppet  | '18'      | 18    |
| Megs Over Easy        | Vampstache        | '18'      | 18    |
| Megs Over Easy        | Haste Vial        | '11'      | 18    |
| Megs Over Easy        | Giant Arrow       | '18'      | 18    |
| Megs Over Easy        | Healer Puppet     | '18'      | 18    |
| Megs Over Easy        | Rage Gem          | '18'      | 18    |
| Megs Over Easy        | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| ItsTwinkie            | Giant Gauntlet    | '20'      | 27    |
| ItsTwinkie            | Rocket Spear      | '8'       | 27    |
| ItsTwinkie            | Spiky Ball        | '14'      | 27    |
| ItsTwinkie            | Frozen Arrow      | '27'      | 27    |
| ItsTwinkie            | Magic Mirror      | '17'      | 27    |
| ItsTwinkie            | Barbarian Puppet  | '15'      | 18    |
| ItsTwinkie            | Rage Vial         | '18'      | 18    |
| ItsTwinkie            | Archer Puppet     | '17'      | 18    |
| ItsTwinkie            | Invisibility Vial | '18'      | 18    |
| ItsTwinkie            | Eternal Tome      | '18'      | 18    |
| ItsTwinkie            | Life Gem          | '15'      | 18    |
| ItsTwinkie            | Seeking Shield    | '17'      | 18    |
| ItsTwinkie            | Royal Gem         | '15'      | 18    |
| ItsTwinkie            | Earthquake Boots  | '5'       | 18    |
| ItsTwinkie            | Hog Rider Puppet  | '18'      | 18    |
| ItsTwinkie            | Vampstache        | '18'      | 18    |
| ItsTwinkie            | Haste Vial        | '18'      | 18    |
| ItsTwinkie            | Giant Arrow       | '10'      | 18    |
| ItsTwinkie            | Healer Puppet     | '18'      | 18    |
| ItsTwinkie            | Rage Gem          | '18'      | 18    |
| ItsTwinkie            | Healing Tome      | '5'       | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| alalalalalala         | Giant Gauntlet    | '27'      | 27    |
| alalalalalala         | Rocket Spear      | '20'      | 27    |
| alalalalalala         | Spiky Ball        | '1'       | 27    |
| alalalalalala         | Frozen Arrow      | '2'       | 27    |
| alalalalalala         | Fireball          | '16'      | 27    |
| alalalalalala         | Magic Mirror      | '2'       | 27    |
| alalalalalala         | Barbarian Puppet  | '15'      | 18    |
| alalalalalala         | Rage Vial         | '15'      | 18    |
| alalalalalala         | Archer Puppet     | '15'      | 18    |
| alalalalalala         | Invisibility Vial | '15'      | 18    |
| alalalalalala         | Eternal Tome      | '16'      | 18    |
| alalalalalala         | Life Gem          | '15'      | 18    |
| alalalalalala         | Seeking Shield    | '18'      | 18    |
| alalalalalala         | Royal Gem         | '15'      | 18    |
| alalalalalala         | Earthquake Boots  | '3'       | 18    |
| alalalalalala         | Giant Arrow       | '11'      | 18    |
| alalalalalala         | Healer Puppet     | '18'      | 18    |
| alalalalalala         | Rage Gem          | '18'      | 18    |
| alalalalalala         | Healing Tome      | '2'       | 18    |
| alalalalalala         | Hog Rider Puppet  | '1'       | 18    |
| alalalalalala         | Vampstache        | '1'       | 18    |
| alalalalalala         | Haste Vial        | '1'       | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| kat                   | Giant Gauntlet    | '26'      | 27    |
| kat                   | Rocket Spear      | '8'       | 27    |
| kat                   | Spiky Ball        | '26'      | 27    |
| kat                   | Frozen Arrow      | '26'      | 27    |
| kat                   | Fireball          | '20'      | 27    |
| kat                   | Magic Mirror      | '11'      | 27    |
| kat                   | Barbarian Puppet  | '17'      | 18    |
| kat                   | Rage Vial         | '17'      | 18    |
| kat                   | Archer Puppet     | '17'      | 18    |
| kat                   | Invisibility Vial | '17'      | 18    |
| kat                   | Eternal Tome      | '18'      | 18    |
| kat                   | Life Gem          | '15'      | 18    |
| kat                   | Seeking Shield    | '18'      | 18    |
| kat                   | Royal Gem         | '15'      | 18    |
| kat                   | Earthquake Boots  | '18'      | 18    |
| kat                   | Hog Rider Puppet  | '18'      | 18    |
| kat                   | Vampstache        | '14'      | 18    |
| kat                   | Haste Vial        | '14'      | 18    |
| kat                   | Giant Arrow       | '15'      | 18    |
| kat                   | Healer Puppet     | '17'      | 18    |
| kat                   | Rage Gem          | '18'      | 18    |
| kat                   | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| CRASH                 | Giant Gauntlet    | '27'      | 27    |
| CRASH                 | Rocket Spear      | '20'      | 27    |
| CRASH                 | Spiky Ball        | '27'      | 27    |
| CRASH                 | Frozen Arrow      | '27'      | 27    |
| CRASH                 | Fireball          | '23'      | 27    |
| CRASH                 | Magic Mirror      | '26'      | 27    |
| CRASH                 | Barbarian Puppet  | '16'      | 18    |
| CRASH                 | Rage Vial         | '18'      | 18    |
| CRASH                 | Archer Puppet     | '15'      | 18    |
| CRASH                 | Invisibility Vial | '18'      | 18    |
| CRASH                 | Eternal Tome      | '18'      | 18    |
| CRASH                 | Life Gem          | '15'      | 18    |
| CRASH                 | Seeking Shield    | '18'      | 18    |
| CRASH                 | Royal Gem         | '18'      | 18    |
| CRASH                 | Earthquake Boots  | '10'      | 18    |
| CRASH                 | Hog Rider Puppet  | '18'      | 18    |
| CRASH                 | Vampstache        | '18'      | 18    |
| CRASH                 | Haste Vial        | '18'      | 18    |
| CRASH                 | Giant Arrow       | '10'      | 18    |
| CRASH                 | Healer Puppet     | '14'      | 18    |
| CRASH                 | Rage Gem          | '18'      | 18    |
| CRASH                 | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| rackam                | Giant Gauntlet    | '27'      | 27    |
| rackam                | Rocket Spear      | '17'      | 27    |
| rackam                | Frozen Arrow      | '27'      | 27    |
| rackam                | Magic Mirror      | '8'       | 27    |
| rackam                | Barbarian Puppet  | '17'      | 18    |
| rackam                | Rage Vial         | '18'      | 18    |
| rackam                | Archer Puppet     | '17'      | 18    |
| rackam                | Invisibility Vial | '18'      | 18    |
| rackam                | Eternal Tome      | '18'      | 18    |
| rackam                | Life Gem          | '17'      | 18    |
| rackam                | Seeking Shield    | '17'      | 18    |
| rackam                | Royal Gem         | '18'      | 18    |
| rackam                | Earthquake Boots  | '2'       | 18    |
| rackam                | Hog Rider Puppet  | '5'       | 18    |
| rackam                | Vampstache        | '18'      | 18    |
| rackam                | Haste Vial        | '18'      | 18    |
| rackam                | Giant Arrow       | '18'      | 18    |
| rackam                | Healer Puppet     | '18'      | 18    |
| rackam                | Rage Gem          | '18'      | 18    |
| rackam                | Healing Tome      | '5'       | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Ryan                  | Giant Gauntlet    | '27'      | 27    |
| Ryan                  | Rocket Spear      | '27'      | 27    |
| Ryan                  | Spiky Ball        | '27'      | 27    |
| Ryan                  | Frozen Arrow      | '26'      | 27    |
| Ryan                  | Fireball          | '27'      | 27    |
| Ryan                  | Magic Mirror      | '23'      | 27    |
| Ryan                  | Barbarian Puppet  | '18'      | 18    |
| Ryan                  | Rage Vial         | '18'      | 18    |
| Ryan                  | Archer Puppet     | '18'      | 18    |
| Ryan                  | Invisibility Vial | '18'      | 18    |
| Ryan                  | Eternal Tome      | '18'      | 18    |
| Ryan                  | Life Gem          | '18'      | 18    |
| Ryan                  | Seeking Shield    | '18'      | 18    |
| Ryan                  | Royal Gem         | '18'      | 18    |
| Ryan                  | Earthquake Boots  | '5'       | 18    |
| Ryan                  | Hog Rider Puppet  | '18'      | 18    |
| Ryan                  | Vampstache        | '5'       | 18    |
| Ryan                  | Haste Vial        | '18'      | 18    |
| Ryan                  | Giant Arrow       | '8'       | 18    |
| Ryan                  | Healer Puppet     | '18'      | 18    |
| Ryan                  | Rage Gem          | '18'      | 18    |
| Ryan                  | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Luffy                 | Spiky Ball        | '24'      | 27    |
| Luffy                 | Fireball          | '20'      | 27    |
| Luffy                 | Magic Mirror      | '1'       | 27    |
| Luffy                 | Barbarian Puppet  | '18'      | 18    |
| Luffy                 | Rage Vial         | '18'      | 18    |
| Luffy                 | Archer Puppet     | '18'      | 18    |
| Luffy                 | Invisibility Vial | '18'      | 18    |
| Luffy                 | Eternal Tome      | '18'      | 18    |
| Luffy                 | Life Gem          | '18'      | 18    |
| Luffy                 | Seeking Shield    | '18'      | 18    |
| Luffy                 | Royal Gem         | '18'      | 18    |
| Luffy                 | Hog Rider Puppet  | '2'       | 18    |
| Luffy                 | Healer Puppet     | '14'      | 18    |
| Luffy                 | Healing Tome      | '14'      | 18    |
| Luffy                 | Earthquake Boots  | '1'       | 18    |
| Luffy                 | Vampstache        | '1'       | 18    |
| Luffy                 | Haste Vial        | '1'       | 18    |
| Luffy                 | Giant Arrow       | '1'       | 18    |
| Luffy                 | Rage Gem          | '1'       | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| jay                   | Giant Gauntlet    | '26'      | 27    |
| jay                   | Rocket Spear      | '14'      | 27    |
| jay                   | Spiky Ball        | '23'      | 27    |
| jay                   | Frozen Arrow      | '27'      | 27    |
| jay                   | Fireball          | '14'      | 27    |
| jay                   | Magic Mirror      | '11'      | 27    |
| jay                   | Barbarian Puppet  | '17'      | 18    |
| jay                   | Rage Vial         | '17'      | 18    |
| jay                   | Archer Puppet     | '17'      | 18    |
| jay                   | Invisibility Vial | '18'      | 18    |
| jay                   | Eternal Tome      | '18'      | 18    |
| jay                   | Life Gem          | '17'      | 18    |
| jay                   | Seeking Shield    | '17'      | 18    |
| jay                   | Royal Gem         | '18'      | 18    |
| jay                   | Earthquake Boots  | '18'      | 18    |
| jay                   | Hog Rider Puppet  | '18'      | 18    |
| jay                   | Vampstache        | '17'      | 18    |
| jay                   | Haste Vial        | '14'      | 18    |
| jay                   | Giant Arrow       | '11'      | 18    |
| jay                   | Healer Puppet     | '18'      | 18    |
| jay                   | Rage Gem          | '18'      | 18    |
| jay                   | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| hay                   | Giant Gauntlet    | '24'      | 27    |
| hay                   | Rocket Spear      | '4'       | 27    |
| hay                   | Spiky Ball        | '13'      | 27    |
| hay                   | Frozen Arrow      | '21'      | 27    |
| hay                   | Fireball          | '23'      | 27    |
| hay                   | Magic Mirror      | '1'       | 27    |
| hay                   | Barbarian Puppet  | '11'      | 18    |
| hay                   | Rage Vial         | '18'      | 18    |
| hay                   | Archer Puppet     | '13'      | 18    |
| hay                   | Invisibility Vial | '18'      | 18    |
| hay                   | Eternal Tome      | '18'      | 18    |
| hay                   | Life Gem          | '13'      | 18    |
| hay                   | Seeking Shield    | '12'      | 18    |
| hay                   | Royal Gem         | '8'       | 18    |
| hay                   | Earthquake Boots  | '13'      | 18    |
| hay                   | Hog Rider Puppet  | '17'      | 18    |
| hay                   | Haste Vial        | '18'      | 18    |
| hay                   | Giant Arrow       | '13'      | 18    |
| hay                   | Healer Puppet     | '17'      | 18    |
| hay                   | Rage Gem          | '14'      | 18    |
| hay                   | Healing Tome      | '18'      | 18    |
| hay                   | Vampstache        | '1'       | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Juliet                | Giant Gauntlet    | '27'      | 27    |
| Juliet                | Rocket Spear      | '11'      | 27    |
| Juliet                | Spiky Ball        | '27'      | 27    |
| Juliet                | Frozen Arrow      | '17'      | 27    |
| Juliet                | Fireball          | '8'       | 27    |
| Juliet                | Magic Mirror      | '11'      | 27    |
| Juliet                | Barbarian Puppet  | '18'      | 18    |
| Juliet                | Rage Vial         | '18'      | 18    |
| Juliet                | Archer Puppet     | '18'      | 18    |
| Juliet                | Invisibility Vial | '18'      | 18    |
| Juliet                | Eternal Tome      | '18'      | 18    |
| Juliet                | Life Gem          | '18'      | 18    |
| Juliet                | Seeking Shield    | '18'      | 18    |
| Juliet                | Royal Gem         | '18'      | 18    |
| Juliet                | Earthquake Boots  | '17'      | 18    |
| Juliet                | Hog Rider Puppet  | '11'      | 18    |
| Juliet                | Vampstache        | '14'      | 18    |
| Juliet                | Haste Vial        | '8'       | 18    |
| Juliet                | Giant Arrow       | '14'      | 18    |
| Juliet                | Healer Puppet     | '11'      | 18    |
| Juliet                | Rage Gem          | '18'      | 18    |
| Juliet                | Healing Tome      | '8'       | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Zookstar123           | Giant Gauntlet    | '27'      | 27    |
| Zookstar123           | Frozen Arrow      | '26'      | 27    |
| Zookstar123           | Fireball          | '8'       | 27    |
| Zookstar123           | Barbarian Puppet  | '14'      | 18    |
| Zookstar123           | Rage Vial         | '18'      | 18    |
| Zookstar123           | Archer Puppet     | '14'      | 18    |
| Zookstar123           | Invisibility Vial | '18'      | 18    |
| Zookstar123           | Eternal Tome      | '18'      | 18    |
| Zookstar123           | Life Gem          | '14'      | 18    |
| Zookstar123           | Seeking Shield    | '17'      | 18    |
| Zookstar123           | Royal Gem         | '17'      | 18    |
| Zookstar123           | Earthquake Boots  | '11'      | 18    |
| Zookstar123           | Hog Rider Puppet  | '18'      | 18    |
| Zookstar123           | Vampstache        | '5'       | 18    |
| Zookstar123           | Haste Vial        | '18'      | 18    |
| Zookstar123           | Giant Arrow       | '14'      | 18    |
| Zookstar123           | Healer Puppet     | '18'      | 18    |
| Zookstar123           | Rage Gem          | '18'      | 18    |
| Zookstar123           | Healing Tome      | '18'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| MonseurMaiDra         | Giant Gauntlet    | '26'      | 27    |
| MonseurMaiDra         | Spiky Ball        | '11'      | 27    |
| MonseurMaiDra         | Frozen Arrow      | '11'      | 27    |
| MonseurMaiDra         | Fireball          | '20'      | 27    |
| MonseurMaiDra         | Magic Mirror      | '14'      | 27    |
| MonseurMaiDra         | Barbarian Puppet  | '15'      | 18    |
| MonseurMaiDra         | Rage Vial         | '14'      | 18    |
| MonseurMaiDra         | Archer Puppet     | '15'      | 18    |
| MonseurMaiDra         | Invisibility Vial | '15'      | 18    |
| MonseurMaiDra         | Eternal Tome      | '14'      | 18    |
| MonseurMaiDra         | Life Gem          | '14'      | 18    |
| MonseurMaiDra         | Seeking Shield    | '17'      | 18    |
| MonseurMaiDra         | Royal Gem         | '15'      | 18    |
| MonseurMaiDra         | Earthquake Boots  | '10'      | 18    |
| MonseurMaiDra         | Hog Rider Puppet  | '17'      | 18    |
| MonseurMaiDra         | Vampstache        | '11'      | 18    |
| MonseurMaiDra         | Giant Arrow       | '14'      | 18    |
| MonseurMaiDra         | Healer Puppet     | '17'      | 18    |
| MonseurMaiDra         | Rage Gem          | '18'      | 18    |
| MonseurMaiDra         | Healing Tome      | '14'      | 18    |
| MonseurMaiDra         | Haste Vial        | '1'       | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Chris                 | Giant Gauntlet    | '18'      | 27    |
| Chris                 | Rocket Spear      | '18'      | 27    |
| Chris                 | Spiky Ball        | '18'      | 27    |
| Chris                 | Frozen Arrow      | '18'      | 27    |
| Chris                 | Fireball          | '18'      | 27    |
| Chris                 | Magic Mirror      | '18'      | 27    |
| Chris                 | Barbarian Puppet  | '5'       | 18    |
| Chris                 | Rage Vial         | '8'       | 18    |
| Chris                 | Archer Puppet     | '6'       | 18    |
| Chris                 | Invisibility Vial | '8'       | 18    |
| Chris                 | Eternal Tome      | '15'      | 18    |
| Chris                 | Life Gem          | '15'      | 18    |
| Chris                 | Seeking Shield    | '15'      | 18    |
| Chris                 | Royal Gem         | '3'       | 18    |
| Chris                 | Earthquake Boots  | '2'       | 18    |
| Chris                 | Vampstache        | '15'      | 18    |
| Chris                 | Giant Arrow       | '8'       | 18    |
| Chris                 | Healer Puppet     | '15'      | 18    |
| Chris                 | Rage Gem          | '15'      | 18    |
| Chris                 | Healing Tome      | '11'      | 18    |
| Player                | 'Equip'           | 'Current' | 'Max' |
| Trumpy                | Giant Gauntlet    | '24'      | 27    |
| Trumpy                | Rocket Spear      | '1'       | 27    |
| Trumpy                | Spiky Ball        | '24'      | 27    |
| Trumpy                | Frozen Arrow      | '24'      | 27    |
| Trumpy                | Fireball          | '20'      | 27    |
| Trumpy                | Magic Mirror      | '14'      | 27    |
| Trumpy                | Barbarian Puppet  | '14'      | 18    |
| Trumpy                | Rage Vial         | '17'      | 18    |
| Trumpy                | Archer Puppet     | '14'      | 18    |
| Trumpy                | Invisibility Vial | '18'      | 18    |
| Trumpy                | Eternal Tome      | '18'      | 18    |
| Trumpy                | Life Gem          | '14'      | 18    |
| Trumpy                | Seeking Shield    | '18'      | 18    |
| Trumpy                | Royal Gem         | '17'      | 18    |
| Trumpy                | Earthquake Boots  | '10'      | 18    |
| Trumpy                | Hog Rider Puppet  | '18'      | 18    |
| Trumpy                | Vampstache        | '5'       | 18    |
