CWL Season: July 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
joshu,18,7,7,100.0%,0.0%,0.0%,0.0%,3.0,100.0%
ben,18,1,1,100.0%,0.0%,0.0%,0.0%,3.0,100.0%
kat,18,7,7,100.0%,0.0%,0.0%,0.0%,3.0,100.0%
jay,18,7,7,85.7%,14.3%,0.0%,0.0%,2.86,96.7%
YokoEno,18,7,7,85.7%,14.3%,0.0%,0.0%,2.86,99.9%
rackam,18,7,7,85.7%,14.3%,0.0%,0.0%,2.86,98.6%
LLoh7,18,7,7,71.4%,28.6%,0.0%,0.0%,2.71,90.9%
MonseurMaiDra,18,7,7,71.4%,28.6%,0.0%,0.0%,2.71,93.7%
Roodies Raiders,18,7,7,85.7%,0.0%,0.0%,14.3%,2.57,85.7%
Juliet,18,7,7,85.7%,0.0%,0.0%,14.3%,2.57,85.7%
brocaleb,18,7,7,85.7%,0.0%,0.0%,14.3%,2.57,85.7%
Brad,18,7,7,71.4%,14.3%,0.0%,14.3%,2.43,84.4%
Little Roodie!,18,7,7,71.4%,14.3%,0.0%,14.3%,2.43,85.3%
alphaster17,18,5,5,60.0%,20.0%,0.0%,20.0%,2.2,78.4%
CRASH,18,7,7,14.3%,71.4%,0.0%,14.3%,1.86,76.1%
Ryan,18,7,7,28.6%,28.6%,14.3%,28.6%,1.57,67.3%
babyacorns,18,1,1,0.0%,0.0%,0.0%,100.0%,0.0,0.0%

CWL Season: July 2026 - War Results
Opponent,Result,Our Stars,Their Stars,Our Destruction%,Their Destruction%,Team Size,Date
loyalty,joshu,18,Scar⚡,18,3,100.0%,2:18
loyalty,brocaleb,18,Linda,18,3,100.0%,2:14
loyalty,YokoEno,18,iCEⓂ️AN,18,3,100.0%,2:04
loyalty,kat,18,Fredward,18,3,100.0%,1:49
loyalty,jay,18,2Raw,18,3,100.0%,1:52
loyalty,rackam,18,Yaim,18,3,100.0%,2:27
loyalty,Roodies Raiders,18,DillyDilly,18,3,100.0%,2:04
loyalty,CRASH,18,lando-El,18,2,86.0%,2:35
loyalty,Little Roodie!,18,WhiteKid77,18,2,97.0%,2:07
loyalty,LLoh7,18,Miss Lexi,18,3,100.0%,2:18
loyalty,Brad,18,Wake,18,2,91.0%,1:49
loyalty,MonseurMaiDra,18,Godsmack,18,3,100.0%,2:30
loyalty,Juliet,18,Fred,18,3,100.0%,1:22
loyalty,Ryan,18,CORTEX,18,2,91.0%,3:00
"""WELL DONE""",Ryan,18,Missed,0,0,0.0%,
"""WELL DONE""",babyacorns,18,Missed,0,0,0.0%,
"""WELL DONE""",joshu,18,Ares Of War™,18,3,100.0%,2:11
"""WELL DONE""",brocaleb,18,charlie,18,3,100.0%,1:58
"""WELL DONE""",MonseurMaiDra,18,HIMEL,18,3,100.0%,2:19
"""WELL DONE""",kat,18,JAY,18,3,100.0%,1:52
"""WELL DONE""",YokoEno,18,Ʀ ɛ ɛ Ƭ,18,3,100.0%,2:27
"""WELL DONE""",jay,18,亗ASH亗,18,2,77.0%,2:28
"""WELL DONE""",Brad,18,Chibs,18,3,100.0%,1:37
"""WELL DONE""",LLoh7,18,***Alirıza***,18,2,70.0%,1:52
"""WELL DONE""",rackam,18,limas,18,3,100.0%,2:34
"""WELL DONE""",Roodies Raiders,18,Master Tula,18,3,100.0%,1:55
"""WELL DONE""",Little Roodie!,18,Frosty,18,3,100.0%,2:07
"""WELL DONE""",Juliet,18,Tri cool,18,3,100.0%,1:52
"""WELL DONE""",CRASH,18,godofglory,18,2,96.0%,3:00
⚔️الاردن⭐اولا⚔️,brocaleb,18,⭐✨⚔️Credos⚔️✨⭐,18,3,100.0%,2:26
⚔️الاردن⭐اولا⚔️,jay,18,Dr.Soofy,18,3,100.0%,1:32
⚔️الاردن⭐اولا⚔️,joshu,18,MZ3L - مزعل,18,3,100.0%,2:31
⚔️الاردن⭐اولا⚔️,YokoEno,18,❤️ حمود ❤️,18,3,100.0%,2:18
⚔️الاردن⭐اولا⚔️,kat,18,A7MAD BOB,18,3,100.0%,1:37
⚔️الاردن⭐اولا⚔️,MonseurMaiDra,18,⚔️⭐Van Diezl⭐⚔️,18,3,100.0%,2:31
⚔️الاردن⭐اولا⚔️,LLoh7,18,khalil ss,18,3,100.0%,1:39
⚔️الاردن⭐اولا⚔️,Brad,18,☠️ABO ZIEN☠️,18,3,100.0%,1:49
⚔️الاردن⭐اولا⚔️,rackam,18,سيدقريش✌,18,3,100.0%,1:55
⚔️الاردن⭐اولا⚔️,Little Roodie!,18,❤️ حمود ❤️,18,3,100.0%,1:45
⚔️الاردن⭐اولا⚔️,alphaster17,18,⚔️在上面⭐️SPARK⚔️,18,3,100.0%,2:13
⚔️الاردن⭐اولا⚔️,Roodies Raiders,18,⚔️⭐⚔️AYMAN⚔️⭐⚔️,18,3,100.0%,1:44
⚔️الاردن⭐اولا⚔️,CRASH,18,⚔️⭐ALOUCH10⭐⚔️,18,3,100.0%,2:34
⚔️الاردن⭐اولا⚔️,Juliet,18,Dr. Mustafa,18,3,100.0%,1:40
⚔️الاردن⭐اولا⚔️,Ryan,18,⚔️ عرين ⭐ اسود⚔,18,3,100.0%,1:51
CAN U BEAT US,joshu,18,丂么•ＨＡＣＫＥＲ,18,3,100.0%,2:40
CAN U BEAT US,kat,18,princejr,18,3,100.0%,1:57
CAN U BEAT US,brocaleb,18,Sar,18,3,100.0%,2:19
CAN U BEAT US,jay,18,KAKAROT,18,3,100.0%,1:53
CAN U BEAT US,alphaster17,18,Alfie M'25),18,2,92.0%,2:41
CAN U BEAT US,YokoEno,18,❤❤try_pogi❤❤,18,3,100.0%,2:34
CAN U BEAT US,MonseurMaiDra,18,Raf D' Reaper,18,2,71.0%,2:37
CAN U BEAT US,rackam,18,mhel,18,3,100.0%,1:59
CAN U BEAT US,LLoh7,18,Super Raf,18,3,100.0%,1:39
CAN U BEAT US,Roodies Raiders,18,Admiral Raf,18,3,100.0%,2:16
CAN U BEAT US,Little Roodie!,18,Emperor Raf,18,3,100.0%,1:39
CAN U BEAT US,Juliet,18,Omar,18,3,100.0%,1:49
CAN U BEAT US,Ryan,18,Alfie M'25),18,3,100.0%,2:15
CAN U BEAT US,CRASH,18,JOHNFRANCO,18,2,89.0%,3:00
CAN U BEAT US,Brad,18,ツReNz™,18,3,100.0%,1:48
El-classico,joshu,18,PATLEMA,18,3,100.0%,2:26
El-classico,LLoh7,18,Kapten Perang01,18,3,100.0%,1:41
El-classico,kat,18,RIEZZ #2,18,3,100.0%,2:11
El-classico,YokoEno,18,mp,18,3,100.0%,2:46
El-classico,brocaleb,18,Angmaw,18,3,100.0%,2:04
El-classico,jay,18,◆☆~kevinspeeds2,18,3,100.0%,1:30
El-classico,rackam,18,angga,18,3,100.0%,2:15
El-classico,MonseurMaiDra,18,jeje,18,3,100.0%,2:07
El-classico,alphaster17,18,Roger,18,3,100.0%,2:24
El-classico,CRASH,18,THE VILLAIN,18,2,93.0%,3:00
El-classico,Little Roodie!,18,WD’SYAFIX,18,3,100.0%,2:00
El-classico,Roodies Raiders,18,My Name Is Rafi,18,3,100.0%,1:35
El-classico,Brad,18,"kang maz""e",18,3,100.0%,2:00
El-classico,Ryan,18,ANDROS AZKA,18,1,81.0%,2:48
El-classico,Juliet,18,Chief×Meong☘️,18,3,100.0%,1:21
XT,Ryan,18,Missed,0,0,0.0%,
XT,brocaleb,18,Missed,0,0,0.0%,
XT,Little Roodie!,18,Missed,0,0,0.0%,
XT,Roodies Raiders,18,Missed,0,0,0.0%,
XT,CRASH,18,Missed,0,0,0.0%,
XT,Brad,18,Missed,0,0,0.0%,
XT,Juliet,18,Missed,0,0,0.0%,
XT,alphaster17,18,$Monster$,18,3,100.0%,1:46
XT,kat,18,The Villager,18,3,100.0%,1:47
XT,jay,18,JAYESH,18,3,100.0%,2:21
XT,YokoEno,18,tanu30,18,2,99.0%,3:00
XT,joshu,18,//× ĐJ ×//,18,3,100.0%,2:23
XT,MonseurMaiDra,18,wajid,18,3,100.0%,2:44
XT,rackam,18,ApS,18,2,90.0%,3:00
XT,LLoh7,18,Nishant,18,2,66.0%,1:51
