CWL Season: August 2026 - Player Performance
Player,TH,Attacks,Wars,3-Star%,2-Star%,1-Star%,0-Star%,Avg Stars,Avg Destruction%
joshu,18,8,8,62.5%,12.5%,0.0%,25.0%,2.13,74.9%
LLoh7,18,8,8,37.5%,37.5%,0.0%,25.0%,1.88,70.6%
kat,18,8,8,50.0%,12.5%,0.0%,37.5%,1.75,61.6%
Brad,18,8,8,50.0%,0.0%,0.0%,50.0%,1.5,50.0%
YokoEno,18,8,8,50.0%,0.0%,0.0%,50.0%,1.5,50.0%
MonseurMaiDra,18,8,8,37.5%,12.5%,12.5%,37.5%,1.5,57.3%
rackam,18,2,2,50.0%,0.0%,0.0%,50.0%,1.5,50.0%
jay,18,8,8,37.5%,12.5%,0.0%,50.0%,1.38,46.5%
Little Roodie!,18,8,8,37.5%,12.5%,0.0%,50.0%,1.38,49.1%
alphaster17,18,8,8,37.5%,12.5%,0.0%,50.0%,1.38,48.9%
ben,18,8,8,37.5%,12.5%,0.0%,50.0%,1.38,49.1%
brocaleb,18,8,8,37.5%,12.5%,0.0%,50.0%,1.38,49.9%
Roodies Raiders,18,8,8,25.0%,25.0%,0.0%,50.0%,1.25,48.0%
CRASH,18,7,7,28.6%,14.3%,0.0%,57.1%,1.14,42.6%
Juliet,18,7,7,14.3%,28.6%,0.0%,57.1%,1.0,39.4%
Ryan,18,8,8,0.0%,25.0%,0.0%,75.0%,0.5,23.8%

CWL Season: August 2026 - War Results
Opponent,Result,Our Stars,Their Stars,Our Destruction%,Their Destruction%,Team Size,Date
NEW cLaN,YokoEno,18,J/A/K/E,18,3,100.0%,1:57
NEW cLaN,MonseurMaiDra,18,Kobs,18,2,76.0%,2:26
NEW cLaN,CRASH,18,Martur,18,3,100.0%,2:07
NEW cLaN,Ryan,18,HellRaiser,18,2,95.0%,2:02
NEW cLaN,ben,18,Barbarian-Face,18,3,100.0%,2:19
NEW cLaN,Roodies Raiders,18,The Jim Reaper,18,3,100.0%,1:50
NEW cLaN,Little Roodie!,18,boomhower,18,2,93.0%,2:07
NEW cLaN,Brad,18,Bombtrack,18,3,100.0%,1:51
NEW cLaN,Juliet,18,hailnope,18,3,100.0%,2:17
⭐️SPARTA CWL⭐️,LLoh7,18,WinD,18,3,100.0%,2:00
⭐️SPARTA CWL⭐️,joshu,18,⭐️D i m o n⭐️™️,18,3,100.0%,1:50
⭐️SPARTA CWL⭐️,jay,18,⭐️Фирдавс⭐️™️,18,3,100.0%,1:42
⭐️SPARTA CWL⭐️,kat,18,⭐️Achilles⭐️,18,3,100.0%,1:58
⭐️SPARTA CWL⭐️,alphaster17,18,⭐️Nexxer⭐️™️,18,3,100.0%,2:03
⭐️SPARTA CWL⭐️,brocaleb,18,Redbull,18,3,100.0%,2:04
⭐️SPARTA CWL⭐️,YokoEno,18,Татарин,18,3,100.0%,2:53
⭐️SPARTA CWL⭐️,CRASH,18,⭐FIVE-O⭐™️,18,3,100.0%,2:30
⭐️SPARTA CWL⭐️,MonseurMaiDra,18,⭐️Koreec⭐️™️,18,3,100.0%,2:08
⭐️SPARTA CWL⭐️,Little Roodie!,18,Redbull2,18,3,100.0%,2:05
⭐️SPARTA CWL⭐️,Roodies Raiders,18,m4ls0n,18,3,100.0%,1:56
⭐️SPARTA CWL⭐️,Brad,18,⭐️Selya⭐️™️,18,3,100.0%,1:48
⭐️SPARTA CWL⭐️,ben,18,⭐️Чак⭐️™️,18,3,100.0%,2:14
⭐️SPARTA CWL⭐️,Ryan,18,Алексей,18,2,95.0%,2:11
⭐️SPARTA CWL⭐️,Juliet,18,⭐️Nexxer⭐️™️,18,2,96.0%,2:02
MB WAR LEAGUE,Little Roodie!,18,Missed,0,0,0.0%,
MB WAR LEAGUE,Roodies Raiders,18,Missed,0,0,0.0%,
MB WAR LEAGUE,YokoEno,18,Missed,0,0,0.0%,
MB WAR LEAGUE,brocaleb,18,Missed,0,0,0.0%,
MB WAR LEAGUE,Ryan,18,Missed,0,0,0.0%,
MB WAR LEAGUE,Brad,18,Missed,0,0,0.0%,
MB WAR LEAGUE,ben,18,Missed,0,0,0.0%,
MB WAR LEAGUE,jay,18,Missed,0,0,0.0%,
MB WAR LEAGUE,kat,18,Missed,0,0,0.0%,
MB WAR LEAGUE,MonseurMaiDra,18,Missed,0,0,0.0%,
MB WAR LEAGUE,alphaster17,18,Missed,0,0,0.0%,
MB WAR LEAGUE,CRASH,18,Missed,0,0,0.0%,
MB WAR LEAGUE,Juliet,18,Missed,0,0,0.0%,
MB WAR LEAGUE,joshu,18,"""'*pedro*""'",18,3,100.0%,2:21
MB WAR LEAGUE,LLoh7,18,Khal Drigo,18,2,89.0%,2:08
MB WAR LEAGUE,Ryan,18,Missed,0,0,0.0%,
MB WAR LEAGUE,Juliet,18,Missed,0,0,0.0%,
MB WAR LEAGUE,joshu,18,"""'*pedro*""'",18,3,100.0%,2:21
MB WAR LEAGUE,LLoh7,18,Khal Drigo,18,2,89.0%,2:08
MB WAR LEAGUE,alphaster17,18,Arcontes,18,3,100.0%,2:51
MB WAR LEAGUE,brocaleb,18,☠☠☠FANTASMA☠☠☠,18,2,99.0%,2:56
MB WAR LEAGUE,YokoEno,18,MB⚡️PATIFÃO,18,3,100.0%,2:21
MB WAR LEAGUE,kat,18,Mr.Fahrenheit.,18,2,93.0%,2:24
MB WAR LEAGUE,jay,18,Reno,18,2,72.0%,1:40
MB WAR LEAGUE,CRASH,18,MB⚡️Aquiles,18,2,98.0%,3:00
MB WAR LEAGUE,Brad,18,I LAURO PELC I,18,3,100.0%,2:14
MB WAR LEAGUE,MonseurMaiDra,18,Vini Chan,18,3,100.0%,2:28
MB WAR LEAGUE,Roodies Raiders,18,✌️W.P JOSIANE✌️,18,2,90.0%,2:03
MB WAR LEAGUE,Little Roodie!,18,MB⚡️CALON,18,3,100.0%,1:56
MB WAR LEAGUE,ben,18,Felipe,18,3,100.0%,2:53
Active City 2.0,Little Roodie!,18,Missed,0,0,0.0%,
Active City 2.0,Roodies Raiders,18,Missed,0,0,0.0%,
Active City 2.0,YokoEno,18,Missed,0,0,0.0%,
Active City 2.0,brocaleb,18,Missed,0,0,0.0%,
Active City 2.0,LLoh7,18,Missed,0,0,0.0%,
Active City 2.0,Ryan,18,Missed,0,0,0.0%,
Active City 2.0,Brad,18,Missed,0,0,0.0%,
Active City 2.0,ben,18,Missed,0,0,0.0%,
Active City 2.0,jay,18,Missed,0,0,0.0%,
Active City 2.0,kat,18,Missed,0,0,0.0%,
Active City 2.0,MonseurMaiDra,18,Missed,0,0,0.0%,
Active City 2.0,alphaster17,18,Missed,0,0,0.0%,
Active City 2.0,CRASH,18,Missed,0,0,0.0%,
Active City 2.0,joshu,18,Missed,0,0,0.0%,
Active City 2.0,Juliet,18,Missed,0,0,0.0%,
Active City 2.0,Little Roodie!,18,Missed,0,0,0.0%,
Active City 2.0,Roodies Raiders,18,Missed,0,0,0.0%,
Active City 2.0,YokoEno,18,Missed,0,0,0.0%,
Active City 2.0,brocaleb,18,Missed,0,0,0.0%,
Active City 2.0,Ryan,18,Missed,0,0,0.0%,
Active City 2.0,Brad,18,Missed,0,0,0.0%,
Active City 2.0,ben,18,Missed,0,0,0.0%,
Active City 2.0,jay,18,Missed,0,0,0.0%,
Active City 2.0,alphaster17,18,Missed,0,0,0.0%,
Active City 2.0,CRASH,18,Missed,0,0,0.0%,
Active City 2.0,Juliet,18,Missed,0,0,0.0%,
Active City 2.0,joshu,18,VOID ⟁,18,2,99.0%,3:00
Active City 2.0,LLoh7,18,DistinctDigsTwo,18,3,100.0%,2:18
Active City 2.0,kat,18,CHAMPION VARUN,18,3,100.0%,2:06
Active City 2.0,MonseurMaiDra,18,M.Ø.H.I.T,18,3,100.0%,2:27
Anti Aircraft,YokoEno,18,Missed,0,0,0.0%,
Anti Aircraft,Roodies Raiders,18,Missed,0,0,0.0%,
Anti Aircraft,Little Roodie!,18,Missed,0,0,0.0%,
Anti Aircraft,brocaleb,18,Missed,0,0,0.0%,
Anti Aircraft,LLoh7,18,Missed,0,0,0.0%,
Anti Aircraft,Ryan,18,Missed,0,0,0.0%,
Anti Aircraft,Brad,18,Missed,0,0,0.0%,
Anti Aircraft,jay,18,Missed,0,0,0.0%,
Anti Aircraft,kat,18,Missed,0,0,0.0%,
Anti Aircraft,ben,18,Missed,0,0,0.0%,
Anti Aircraft,rackam,18,Missed,0,0,0.0%,
Anti Aircraft,MonseurMaiDra,18,Missed,0,0,0.0%,
Anti Aircraft,alphaster17,18,Missed,0,0,0.0%,
Anti Aircraft,CRASH,18,Missed,0,0,0.0%,
Anti Aircraft,joshu,18,Missed,0,0,0.0%,
